filename,mcd_dB
KAS_F_NAMES_01845.wav,5.2265
KAS_F_NAMES_01852.wav,5.3856
KAS_F_NAMES_01885.wav,5.4690
KAS_F_NAMES_01889.wav,5.6624
KAS_F_NAMES_01904.wav,5.4153
KAS_F_NAMES_01909.wav,5.8665
KAS_F_NAMES_01913.wav,5.5826
KAS_F_NAMES_01917.wav,5.8363
KAS_F_NAMES_01924.wav,5.3320
KAS_F_NAMES_01930.wav,5.6947
KAS_F_NAMES_01933.wav,5.2088
KAS_F_NAMES_01942.wav,5.2830
KAS_F_NAMES_01950.wav,5.2424
KAS_F_NAMES_01955.wav,5.4774
KAS_F_NAMES_01987.wav,5.7906
KAS_F_NAMES_02016.wav,5.7153
KAS_F_NAMES_02024.wav,5.2227
KAS_F_NAMES_02036.wav,4.8346
KAS_F_NAMES_02038.wav,5.0427
KAS_F_NAMES_02047.wav,5.8270
KAS_F_NAMES_02063.wav,5.1452
KAS_F_NAMES_02072.wav,6.2967
KAS_F_NAMES_02084.wav,5.4058
KAS_F_NAMES_02086.wav,5.8922
KAS_F_NAMES_02087.wav,5.6267
KAS_F_NAMES_02091.wav,6.1679
KAS_F_NAMES_02116.wav,5.6328
KAS_F_NAMES_02144.wav,5.4543
KAS_F_NAMES_02145.wav,5.7546
KAS_F_NAMES_02147.wav,5.5390
KAS_F_NAMES_02162.wav,5.5574
KAS_F_NAMES_02180.wav,5.6056
KAS_F_NAMES_02199.wav,5.2480
KAS_F_NAMES_02202.wav,6.4071
KAS_F_NAMES_02203.wav,5.6219
KAS_F_NAMES_02207.wav,5.8731
KAS_F_NAMES_02210.wav,5.8135
KAS_F_NAMES_02231.wav,5.4504
KAS_F_NAMES_02234.wav,5.6161
KAS_F_NAMES_02235.wav,6.4580
KAS_F_NAMES_02241.wav,5.4992
KAS_F_NAMES_02268.wav,5.7129
KAS_F_NAMES_02274.wav,5.8922
KAS_F_NAMES_02284.wav,6.0022
KAS_F_NAMES_02286.wav,5.4926
KAS_F_NAMES_02302.wav,6.4463
KAS_F_NAMES_02323.wav,6.0777
KAS_F_NAMES_02327.wav,6.0547
KAS_F_NAMES_02329.wav,5.2804
KAS_F_NAMES_02336.wav,6.0395
KAS_F_NAMES_02337.wav,5.7553
KAS_F_NAMES_02338.wav,4.4254
KAS_F_NAMES_02343.wav,6.0482
KAS_F_NAMES_02361.wav,5.8408
KAS_F_NAMES_02362.wav,5.2602
KAS_F_NAMES_02374.wav,5.6506
KAS_F_NAMES_02377.wav,4.8938
KAS_F_NAMES_02392.wav,5.4740
KAS_F_NAMES_02400.wav,6.1778
KAS_F_NAMES_02418.wav,5.5071
KAS_F_NAMES_02421.wav,4.3784
KAS_F_NAMES_02455.wav,5.2268
KAS_F_NAMES_02462.wav,5.6016
KAS_F_NAMES_02466.wav,4.9081
KAS_F_NAMES_02470.wav,5.3173
KAS_F_NAMES_02471.wav,5.6939
KAS_F_NAMES_02479.wav,5.2569
KAS_F_NAMES_02496.wav,5.1200
KAS_F_NAMES_02499.wav,5.6474
KAS_F_NAMES_02515.wav,4.8997
KAS_F_NAMES_02535.wav,5.0532
KAS_F_NAMES_02540.wav,5.2331
KAS_F_NAMES_02556.wav,5.8360
KAS_F_NAMES_02560.wav,5.7623
KAS_F_SAD_00005.wav,4.8971
KAS_F_SAD_00012.wav,4.8941
KAS_F_SAD_00028.wav,4.2914
KAS_F_SAD_00029.wav,4.3387
KAS_F_SAD_00036.wav,4.5955
KAS_F_SAD_00038.wav,4.3295
KAS_F_SAD_00057.wav,4.6610
KAS_F_SAD_00066.wav,4.6691
KAS_F_SAD_00090.wav,4.4797
KAS_F_SAD_00102.wav,4.5495
KAS_F_SAD_00104.wav,4.7944
KAS_F_SAD_00114.wav,4.7229
KAS_F_SAD_00125.wav,4.2603
KAS_F_SAD_00136.wav,4.3838
KAS_F_SAD_00141.wav,4.4205
KAS_F_SAD_00143.wav,4.7945
KAS_F_SAD_00158.wav,4.5904
KAS_F_SAD_00170.wav,4.3135
KAS_F_SAD_00177.wav,4.9039
KAS_F_SAD_00195.wav,4.3391
KAS_F_SAD_00203.wav,4.9112
KAS_F_SAD_00206.wav,4.2606
KAS_F_SAD_00209.wav,4.9294
KAS_F_SAD_00212.wav,4.8157
KAS_F_SURPRISE_00017.wav,4.7437
KAS_F_SURPRISE_00027.wav,4.9950
KAS_F_SURPRISE_00032.wav,4.8719
KAS_F_SURPRISE_00033.wav,4.4828
KAS_F_SURPRISE_00048.wav,4.7932
KAS_F_SURPRISE_00049.wav,5.1420
KAS_F_SURPRISE_00053.wav,5.0645
KAS_F_SURPRISE_00058.wav,4.7504
KAS_F_SURPRISE_00060.wav,4.8869
KAS_F_SURPRISE_00068.wav,5.0247
KAS_F_SURPRISE_00085.wav,4.9929
KAS_F_SURPRISE_00091.wav,4.5322
KAS_F_SURPRISE_00103.wav,4.8702
KAS_F_SURPRISE_00105.wav,5.1153
KAS_F_SURPRISE_00106.wav,5.0556
KAS_F_SURPRISE_00138.wav,4.5936
KAS_F_SURPRISE_00139.wav,4.7841
KAS_F_SURPRISE_00148.wav,4.9713
KAS_F_SURPRISE_00163.wav,4.7361
KAS_F_SURPRISE_00182.wav,4.1668
KAS_F_SURPRISE_00217.wav,4.9371
KAS_F_SURPRISE_00222.wav,4.4264
KAS_F_SURPRISE_00225.wav,4.7022
KAS_F_WIKI_00013.wav,3.9313
KAS_F_WIKI_00017.wav,4.3509
KAS_F_WIKI_00023.wav,4.8745
KAS_F_WIKI_00041.wav,4.7945
KAS_F_WIKI_00051.wav,4.5280
KAS_F_WIKI_00065.wav,4.5490
KAS_F_WIKI_00073.wav,4.7299
KAS_F_WIKI_00076.wav,4.6620
KAS_F_WIKI_00077.wav,4.4678
KAS_F_WIKI_00079.wav,4.7582
KAS_F_WIKI_00116.wav,4.7925
KAS_F_WIKI_00118.wav,4.6271
KAS_F_WIKI_00129.wav,4.5811
KAS_F_WIKI_00152.wav,4.5342
KAS_F_WIKI_00158.wav,4.6799
KAS_F_WIKI_00169.wav,4.8214
KAS_F_WIKI_00172.wav,4.6135
KAS_F_WIKI_00189.wav,4.7427
KAS_F_WIKI_00203.wav,4.8277
KAS_F_WIKI_00205.wav,4.3347
KAS_F_WIKI_00214.wav,4.4414
KAS_F_WIKI_00226.wav,4.4967
KAS_F_WIKI_00228.wav,4.6068
KAS_F_WIKI_00244.wav,4.5562
KAS_F_WIKI_00263.wav,5.0635
KAS_F_WIKI_00274.wav,4.5000
KAS_F_WIKI_00277.wav,4.6972
KAS_F_WIKI_00279.wav,4.7121
KAS_F_WIKI_00289.wav,4.7905
KAS_F_WIKI_00301.wav,4.7289
KAS_F_WIKI_00306.wav,4.6654
KAS_F_WIKI_00350.wav,4.7187
KAS_F_WIKI_00374.wav,4.8216
KAS_F_WIKI_00378.wav,4.4554
KAS_F_WIKI_00382.wav,4.3567
KAS_F_WIKI_00384.wav,4.3515
KAS_F_WIKI_00400.wav,4.5246
KAS_F_WIKI_00401.wav,4.5330
KAS_F_WIKI_00411.wav,4.6286
KAS_F_WIKI_00419.wav,4.7215
KAS_F_WIKI_00433.wav,4.4951
KAS_F_WIKI_00458.wav,4.3622
KAS_F_WIKI_00459.wav,4.4831
KAS_F_WIKI_00460.wav,4.7887
KAS_F_WIKI_00472.wav,4.7604
KAS_F_WIKI_00496.wav,4.2325
KAS_F_WIKI_00497.wav,4.4166
KAS_F_WIKI_00499.wav,4.0921
KAS_F_WIKI_00505.wav,4.5887
KAS_F_WIKI_00512.wav,4.4097
KAS_F_WIKI_00516.wav,4.8785
KAS_F_WIKI_00519.wav,4.7287
KAS_F_WIKI_00520.wav,5.0048
KAS_F_WIKI_00545.wav,4.5740
KAS_F_WIKI_00572.wav,4.5016
KAS_F_WIKI_00573.wav,4.6820
KAS_F_WIKI_00591.wav,4.9066
KAS_F_WIKI_00604.wav,4.6344
KAS_F_WIKI_00634.wav,4.4821
KAS_F_WIKI_00640.wav,4.4703
KAS_F_WIKI_00658.wav,4.6111
KAS_F_WIKI_00659.wav,4.6308
KAS_F_WIKI_00699.wav,4.3266
KAS_F_WIKI_00728.wav,4.8390
KAS_F_WIKI_00731.wav,4.4062
KAS_F_WIKI_00739.wav,4.6073
KAS_F_WIKI_00748.wav,4.9229
KAS_F_WIKI_00750.wav,4.5512
KAS_F_WIKI_00754.wav,4.8517
KAS_F_WIKI_00778.wav,4.6200
KAS_F_WIKI_00782.wav,4.6542
KAS_F_WIKI_00785.wav,4.7861
KAS_F_WIKI_00787.wav,5.0643
KAS_F_WIKI_00788.wav,5.0701
KAS_F_WIKI_00791.wav,4.4524
KAS_F_WIKI_00792.wav,4.5945
KAS_F_WIKI_00796.wav,4.7090
KAS_F_WIKI_00817.wav,4.6196
KAS_F_WIKI_00823.wav,5.0505
KAS_F_WIKI_00829.wav,4.6978
KAS_F_WIKI_00834.wav,5.0523
KAS_F_WIKI_00839.wav,4.9353
KAS_F_WIKI_00844.wav,4.8800
KAS_F_WIKI_00847.wav,4.8471
KAS_F_WIKI_00858.wav,4.6775
KAS_F_WIKI_00868.wav,4.7147
KAS_F_WIKI_00871.wav,4.9677
KAS_F_WIKI_00876.wav,5.0032
KAS_F_WIKI_00887.wav,4.5320
KAS_F_WIKI_00897.wav,4.6347
KAS_F_WIKI_00902.wav,4.9764
KAS_F_WIKI_00932.wav,4.9127
KAS_F_WIKI_00953.wav,4.8836
KAS_F_WIKI_00956.wav,4.6517
KAS_F_WIKI_00961.wav,5.2585
KAS_F_WIKI_00962.wav,5.1885
KAS_F_WIKI_00966.wav,5.1509
KAS_F_WIKI_00968.wav,4.7588
KAS_F_WIKI_00976.wav,4.8279
KAS_F_WIKI_00978.wav,4.9856
KAS_F_WIKI_00992.wav,4.7087
KAS_F_WIKI_01000.wav,5.2807
KAS_F_WIKI_01006.wav,4.7843
KAS_F_WIKI_01024.wav,5.1729
KAS_F_WIKI_01026.wav,5.0011
KAS_F_WIKI_01039.wav,5.1250
KAS_F_WIKI_01068.wav,4.8762
KAS_F_WIKI_01074.wav,4.8319
KAS_F_WIKI_01086.wav,4.7796
KAS_F_WIKI_01102.wav,5.1868
KAS_F_WIKI_01111.wav,4.9543
KAS_F_WIKI_01127.wav,4.7796
KAS_F_WIKI_01146.wav,5.5189
KAS_F_WIKI_01171.wav,4.7284
KAS_F_WIKI_01175.wav,4.6682
KAS_F_WIKI_01192.wav,5.0385
KAS_F_WIKI_01196.wav,5.0607
KAS_F_WIKI_01208.wav,4.8598
KAS_F_WIKI_01210.wav,4.8486
KAS_F_WIKI_01211.wav,4.9164
KAS_F_WIKI_01222.wav,4.9418
KAS_F_WIKI_01227.wav,4.8406
KAS_F_WIKI_01243.wav,5.1149
KAS_F_WIKI_01277.wav,5.0719
KAS_F_WIKI_01280.wav,5.0141
KAS_F_WIKI_01307.wav,5.0451
KAS_F_WIKI_01339.wav,4.8437
KAS_F_WIKI_01342.wav,4.8526
KAS_F_WIKI_01350.wav,4.6359
KAS_F_WIKI_01351.wav,4.8096
KAS_F_WIKI_01352.wav,5.0050
KAS_F_WIKI_01359.wav,5.0218
KAS_F_WIKI_01360.wav,5.0357
